"method","language","message_size","message_count","warmup_count","trials","status","exit_code","error","average_micros","total_micros","min_micros","max_micros","stddev_micros","message_rate","child_ready","output"
"copy-roundtrip","rust","64","100000","10000","7","completed","0",,"0.0187765714285715","13143.60000000005","0.018","0.198","0.0034133050115746984","53257859.33838502","False","copy-roundtrip-s64-native.json"
"anon-pipe","rust","64","100000","10000","7","completed","0",,"16.82418514285715","11776929.600000005","11.452","29.906","2.3383726478061346","59438.24271480741","False","anon-pipe-s64-native.json"
"named-pipe-byte-sync","rust","64","100000","10000","7","completed","0",,"11.782746428571421","8247922.499999995","8.648","34.134","1.553762622838541","84869.85662147048","True","named-pipe-byte-sync-s64-native.json"
"named-pipe-message-sync","rust","64","100000","10000","7","completed","0",,"12.044483285714287","8431138.3","8.876","26.497999999999998","1.521041860044078","83025.56251508766","True","named-pipe-message-sync-s64-native.json"
"named-pipe-overlapped","rust","64","100000","10000","7","completed","0",,"12.96202942857143","9073420.600000001","9.775","32.047999999999995","1.5980635831234573","77148.41302518257","True","named-pipe-overlapped-s64-native.json"
"tcp-loopback","rust","64","100000","10000","7","completed","0",,"23.87484685714286","16712392.8","17.801","48.409000000000006","2.6574294127389546","41885.08541996452","True","tcp-loopback-s64-native.json"
"shm-events","rust","64","100000","10000","7","completed","0",,"9.833116285714285","6883181.399999999","6.9","28.315","1.3876390119986153","101697.15997895974","True","shm-events-s64-native.json"
"shm-semaphores","rust","64","100000","10000","7","completed","0",,"9.76967028571428","6838769.199999996","6.89","21.831","1.5045047371629112","102357.59966866559","True","shm-semaphores-s64-native.json"
"shm-mailbox-spin","rust","64","100000","10000","7","completed","0",,"0.11875142857142862","83126.00000000003","0.10200000000000001","0.3","0.011717114989342275","8420951.326901328","True","shm-mailbox-spin-s64-native.json"
"shm-mailbox-hybrid","rust","64","100000","10000","7","completed","0",,"0.2690025714285715","188301.80000000002","0.245","1.3530000000000002","0.04563592875561705","3717436.5831872025","True","shm-mailbox-hybrid-s64-native.json"
"shm-ring-spin","rust","64","100000","10000","7","completed","0",,"0.15824785714285672","110773.49999999971","0.14600000000000002","0.345","0.01550154355382134","6319200.891910085","True","shm-ring-spin-s64-native.json"
"shm-ring-hybrid","rust","64","100000","10000","7","completed","0",,"0.2918770000000003","204313.9000000002","0.271","1.335","0.03871171306133142","3426100.7205089782","True","shm-ring-hybrid-s64-native.json"
"af-unix","rust","64","100000","10000","7","completed","0",,"13.334098857142859","9333869.200000001","9.418000000000001","31.331000000000003","1.7464170007512454","74995.69417578724","True","af-unix-s64-native.json"
"udp-loopback","rust","64","100000","10000","7","completed","0",,"21.49859871428569","15049019.099999985","16.389","43.626999999999995","2.4589582285939238","46514.65955013644","True","udp-loopback-s64-native.json"
"mailslot","rust","64","5000","200","5","completed","0",,"10.650096000000001","266252.4","9.58","17.306","1.2127433326075225","93895.8672297414","True","mailslot-s64-native.json"
"rpc","rust","64","100000","10000","7","completed","0",,"6.043739142857143","4230617.4","4.442","11.873000000000001","0.9884241558933848","165460.48338003806","True","rpc-s64-native.json"
"alpc","rust","64","100000","10000","7","completed","0",,"5.557719571428573","3890403.700000001","4.144","19.194","0.9077546630889967","179929.91318613023","True","alpc-s64-native.json"
"py-multiprocessing-pipe","python","64","100000","10000","7","completed","0",,"21.396225714285713","14977358.0","14.305","49.327","3.330484126570606","46737.214934703436","True","py-multiprocessing-pipe-s64-python.json"
"py-multiprocessing-queue","python","64","100000","10000","7","completed","0",,"55.188753999999996","38632127.8","34.7","107.71799999999999","9.289884925478187","18119.6335760724","True","py-multiprocessing-queue-s64-python.json"
"py-socket-tcp-loopback","python","64","100000","10000","7","completed","0",,"27.140466285714282","18998326.4","18.668","60.434","3.4951488507040196","36845.350756790875","True","py-socket-tcp-loopback-s64-python.json"
"py-shared-memory-events","python","64","100000","10000","7","completed","0",,"56.34364685714285","39440552.8","41.28","96.25","4.293320127976729","17748.229938602686","True","py-shared-memory-events-s64-python.json"
"py-shared-memory-queue","python","64","100000","10000","7","completed","0",,"45.205183285714284","31643628.3","32.748000000000005","103.94","5.9023413107468805","22121.357050575643","True","py-shared-memory-queue-s64-python.json"
"copy-roundtrip","rust","1024","100000","10000","7","completed","0",,"0.04162371428571367","29136.59999999957","0.04","0.31","0.004513928656765371","24024766.10174181","False","copy-roundtrip-s1024-native.json"
"anon-pipe","rust","1024","100000","10000","7","completed","0",,"12.550292857142862","8785205.000000004","10.279000000000002","24.329","1.2086806667746006","79679.41556286959","False","anon-pipe-s1024-native.json"
"named-pipe-byte-sync","rust","1024","100000","10000","7","completed","0",,"10.242464571428574","7169725.200000001","8.445","17.815","0.970141683850774","97632.75167087295","True","named-pipe-byte-sync-s1024-native.json"
