"method","language","message_size","message_count","warmup_count","trials","status","exit_code","error","average_micros","total_micros","min_micros","max_micros","stddev_micros","message_rate","child_ready","output"
"copy-roundtrip","rust","64","1000","100","3","completed","0",,"0.021766666666666646","65.29999999999994","0.019999999999999997","0.03","0.003813863599495341","45941807.04441046","False","copy-roundtrip-s64-native.json"
"anon-pipe","rust","64","1000","100","3","completed","0",,"14.457866666666664","43373.59999999999","11.67","39.730000000000004","3.8369619208720627","69166.4975930059","False","anon-pipe-s64-native.json"
"named-pipe-byte-sync","rust","64","1000","100","3","completed","0",,"10.428399999999998","31285.199999999993","8.91","23.16","2.0590792699650975","95891.98726554411","True","named-pipe-byte-sync-s64-native.json"
"named-pipe-message-sync","rust","64","1000","100","3","completed","0",,"10.230133333333335","30690.400000000005","8.58","21.55","1.881596126224282","97750.43661861688","True","named-pipe-message-sync-s64-native.json"
"named-pipe-overlapped","rust","64","1000","100","3","completed","0",,"10.6052","31815.600000000002","9.040000000000001","24.630000000000003","1.9441365589896193","94293.3655188021","True","named-pipe-overlapped-s64-native.json"
"tcp-loopback","rust","64","1000","100","3","completed","0",,"19.431299999999997","58293.899999999994","17.029999999999998","43.31","3.2964051091049673","51463.360660377846","True","tcp-loopback-s64-native.json"
"shm-events","rust","64","1000","100","3","completed","0",,"8.203600000000002","24610.800000000003","7.0","17.330000000000002","1.4844474976681838","121897.70344726705","True","shm-events-s64-native.json"
"shm-semaphores","rust","64","1000","100","3","completed","0",,"8.592533333333332","25777.6","6.85","16.229999999999997","1.294762880050071","116380.11296629634","True","shm-semaphores-s64-native.json"
"shm-mailbox-spin","rust","64","1000","100","3","completed","0",,"0.40533333333333343","1216.0000000000002","0.1","8.36","0.5207976787796029","2467105.2631578944","True","shm-mailbox-spin-s64-native.json"
"shm-mailbox-hybrid","rust","64","1000","100","3","completed","0",,"0.2692333333333332","807.6999999999997","0.25","1.56","0.07862831692349918","3714250.340472949","True","shm-mailbox-hybrid-s64-native.json"
"shm-ring-spin","rust","64","1000","100","3","completed","0",,"0.1638333333333331","491.4999999999993","0.15","0.27999999999999997","0.012040441114104683","6103763.987792481","True","shm-ring-spin-s64-native.json"
"shm-ring-hybrid","rust","64","1000","100","3","completed","0",,"0.30303333333333365","909.100000000001","0.27","1.85","0.12447676713168432","3299967.000329993","True","shm-ring-hybrid-s64-native.json"
"af-unix","rust","64","1000","100","3","completed","0",,"11.370466666666665","34111.399999999994","9.27","23.97","1.5865546893259685","87947.1379069754","True","af-unix-s64-native.json"
"udp-loopback","rust","64","1000","100","3","completed","0",,"19.648666666666667","58946.0","16.71","35.05","3.0926097213985626","50894.03861161063","True","udp-loopback-s64-native.json"
"mailslot","rust","64","1000","100","3","completed","0",,"9.8914","29674.200000000004","8.02","19.369999999999997","1.6176522205550445","101097.92344865235","True","mailslot-s64-native.json"
"rpc","rust","64","1000","100","3","completed","0",,"7.005299999999999","21015.899999999998","5.42","50.029999999999994","2.5725840919200267","142749.06142492115","True","rpc-s64-native.json"
"alpc","rust","64","1000","100","3","completed","0",,"5.204299999999999","15612.899999999998","4.2700000000000005","14.24","0.8338520112505976","192148.80003074385","True","alpc-s64-native.json"
"py-multiprocessing-pipe","python","64","1000","100","3","completed","0",,"16.847033333333336","50541.100000000006","13.37","43.089999999999996","3.753960424079555","59357.631709638285","True","py-multiprocessing-pipe-s64-python.json"
"py-multiprocessing-queue","python","64","1000","100","3","completed","0",,"45.54293333333333","136628.8","34.29","111.89000000000001","10.5833880552916","21957.30329183891","True","py-multiprocessing-queue-s64-python.json"
"py-socket-tcp-loopback","python","64","1000","100","3","completed","0",,"21.340033333333334","64020.1","18.48","45.54","3.9527640538685787","46860.28294238841","True","py-socket-tcp-loopback-s64-python.json"
"py-shared-memory-events","python","64","1000","100","3","completed","0",,"45.69856666666667","137095.7","40.19","70.26","4.685063529866899","21882.524397191155","True","py-shared-memory-events-s64-python.json"
"py-shared-memory-queue","python","64","1000","100","3","completed","0",,"45.90676666666666","137720.3","33.660000000000004","124.08","11.411752299518051","21783.28104135701","True","py-shared-memory-queue-s64-python.json"
"copy-roundtrip","rust","1024","1000","100","3","completed","0",,"0.052933333333333325","158.79999999999998","0.039999999999999994","0.15999999999999998","0.01265156995088842","18891687.65743073","False","copy-roundtrip-s1024-native.json"
"anon-pipe","rust","1024","1000","100","3","completed","0",,"13.625166666666669","40875.50000000001","11.52","26.74","2.4217042839473373","73393.59763183324","False","anon-pipe-s1024-native.json"
"named-pipe-byte-sync","rust","1024","1000","100","3","completed","0",,"10.113766666666667","30341.3","8.53","25.520000000000003","1.6035849875270796","98875.13059756834","True","named-pipe-byte-sync-s1024-native.json"
"named-pipe-message-sync","rust","1024","1000","100","3","completed","0",,"10.418366666666666","31255.1","8.64","22.23","1.491998100609455","95984.33535646982","True","named-pipe-message-sync-s1024-native.json"
"named-pipe-overlapped","rust","1024","1000","100","3","completed","0",,"10.908199999999999","32724.599999999995","9.040000000000001","24.06","1.5967845064378596","91674.15338919347","True","named-pipe-overlapped-s1024-native.json"
"tcp-loopback","rust","1024","1000","100","3","completed","0",,"19.98486666666667","59954.600000000006","17.369999999999997","45.41","3.435317595539345","50037.86198223322","True","tcp-loopback-s1024-native.json"
"shm-events","rust","1024","1000","100","3","completed","0",,"8.957700000000003","26873.100000000006","7.2","19.85","1.2739143260046963","111635.79936814135","True","shm-events-s1024-native.json"
